year,nome,month,Number of Fires,date
2001,AMAPA,November,406,2001-01-01
2002,AMAPA,November,1.096,2002-01-01
2003,AMAPA,November,750,2003-01-01
2004,AMAPA,November,949,2004-01-01
2005,AMAPA,November,685,2005-01-01
2006,AMAPA,November,207,2006-01-01
2007,AMAPA,November,198,2007-01-01
2008,AMAPA,November,266,2008-01-01
2009,AMAPA,November,1.019,2009-01-01
2010,AMAPA,November,339,2010-01-01
2011,AMAPA,November,282,2011-01-01
2012,AMAPA,November,969,2012-01-01
2013,AMAPA,November,341,2013-01-01
2014,AMAPA,November,484,2014-01-01
2015,AMAPA,November,1.3,2015-01-01
2016,AMAPA,November,1.161,2016-01-01
2017,AMAPA,November,858,2017-01-01
1998,AMAPA,December,84,1998-01-01
1999,AMAPA,December,41,1999-01-01
2000,AMAPA,December,30,2000-01-01
2001,AMAPA,December,593,2001-01-01
2002,AMAPA,December,200,2002-01-01
2003,AMAPA,December,411,2003-01-01
2004,AMAPA,December,777,2004-01-01
2005,AMAPA,December,38,2005-01-01
2006,AMAPA,December,74,2006-01-01
2007,AMAPA,December,14,2007-01-01
2008,AMAPA,December,32,2008-01-01
2009,AMAPA,December,123,2009-01-01
2010,AMAPA,December,43,2010-01-01
2011,AMAPA,December,360,2011-01-01
2012,AMAPA,December,422,2012-01-01
2013,AMAPA,December,148,2013-01-01
2014,AMAPA,December,354,2014-01-01
2015,AMAPA,December,269,2015-01-01
2016,AMAPA,December,491,2016-01-01
1998,AMAZONAS,January,0,1998-01-01
1999,AMAZONAS,January,3,1999-01-01
2000,AMAZONAS,January,7,2000-01-01
2001,AMAZONAS,January,3,2001-01-01
2002,AMAZONAS,January,17,2002-01-01
2003,AMAZONAS,January,158,2003-01-01
2004,AMAZONAS,January,123,2004-01-01
2005,AMAZONAS,January,44,2005-01-01
2006,AMAZONAS,January,20,2006-01-01
2007,AMAZONAS,January,37,2007-01-01
2008,AMAZONAS,January,16,2008-01-01
2009,AMAZONAS,January,9,2009-01-01
2010,AMAZONAS,January,82,2010-01-01
2011,AMAZONAS,January,53,2011-01-01
2012,AMAZONAS,January,6,2012-01-01
2013,AMAZONAS,January,37,2013-01-01
2014,AMAZONAS,January,46,2014-01-01
2015,AMAZONAS,January,35,2015-01-01
2016,AMAZONAS,January,770,2016-01-01
2017,AMAZONAS,January,65,2017-01-01
1998,AMAZONAS,February,0,1998-01-01
1999,AMAZONAS,February,43,1999-01-01
2000,AMAZONAS,February,62,2000-01-01
2001,AMAZONAS,February,8,2001-01-01
2002,AMAZONAS,February,2,2002-01-01
2003,AMAZONAS,February,62,2003-01-01
2004,AMAZONAS,February,92,2004-01-01
2005,AMAZONAS,February,6,2005-01-01
2006,AMAZONAS,February,10,2006-01-01
2007,AMAZONAS,February,92,2007-01-01
2008,AMAZONAS,February,32,2008-01-01
2009,AMAZONAS,February,3,2009-01-01
2010,AMAZONAS,February,81,2010-01-01
2011,AMAZONAS,February,30,2011-01-01
2012,AMAZONAS,February,25,2012-01-01
2013,AMAZONAS,February,16,2013-01-01
2014,AMAZONAS,February,49,2014-01-01
2015,AMAZONAS,February,107,2015-01-01
2016,AMAZONAS,February,275,2016-01-01
2017,AMAZONAS,February,52,2017-01-01
1998,AMAZONAS,March,0,1998-01-01
1999,AMAZONAS,March,7,1999-01-01
2000,AMAZONAS,March,69,2000-01-01
2001,AMAZONAS,March,6,2001-01-01
2002,AMAZONAS,March,5,2002-01-01
2003,AMAZONAS,March,64,2003-01-01
2004,AMAZONAS,March,6,2004-01-01
2005,AMAZONAS,March,12,2005-01-01
2006,AMAZONAS,March,20,2006-01-01
2007,AMAZONAS,March,6,2007-01-01
2008,AMAZONAS,March,10,2008-01-01
2009,AMAZONAS,March,11,2009-01-01
2010,AMAZONAS,March,116,2010-01-01
2011,AMAZONAS,March,49,2011-01-01
2012,AMAZONAS,March,17,2012-01-01
2013,AMAZONAS,March,49,2013-01-01
2014,AMAZONAS,March,50,2014-01-01
2015,AMAZONAS,March,46,2015-01-01
2016,AMAZONAS,March,140,2016-01-01
2017,AMAZONAS,March,45,2017-01-01
1998,AMAZONAS,April,0,1998-01-01
1999,AMAZONAS,April,2,1999-01-01
2000,AMAZONAS,April,18,2000-01-01
2001,AMAZONAS,April,1,2001-01-01
2002,AMAZONAS,April,2,2002-01-01
2003,AMAZONAS,April,11,2003-01-01
2004,AMAZONAS,April,4,2004-01-01
2005,AMAZONAS,April,5,2005-01-01
2006,AMAZONAS,April,5,2006-01-01
2007,AMAZONAS,April,0,2007-01-01
2008,AMAZONAS,April,13,2008-01-01
2009,AMAZONAS,April,1,2009-01-01
2010,AMAZONAS,April,11,2010-01-01
2011,AMAZONAS,April,5,2011-01-01
2012,AMAZONAS,April,3,2012-01-01
2013,AMAZONAS,April,20,2013-01-01
2014,AMAZONAS,April,25,2014-01-01
2015,AMAZONAS,April,24,2015-01-01
2016,AMAZONAS,April,22,2016-01-01
2017,AMAZONAS,April,20,2017-01-01
1998,AMAZONAS,May,0,1998-01-01
1999,AMAZONAS,May,0,1999-01-01
2000,AMAZONAS,May,51,2000-01-01
2001,AMAZONAS,May,0,2001-01-01
2002,AMAZONAS,May,8,2002-01-01
2003,AMAZONAS,May,2,2003-01-01
2004,AMAZONAS,May,0,2004-01-01
2005,AMAZONAS,May,8,2005-01-01
2006,AMAZONAS,May,4,2006-01-01
2007,AMAZONAS,May,0,2007-01-01
2008,AMAZONAS,May,1,2008-01-01
2009,AMAZONAS,May,3,2009-01-01
2010,AMAZONAS,May,13,2010-01-01
2011,AMAZONAS,May,6,2011-01-01
2012,AMAZONAS,May,12,2012-01-01
2013,AMAZONAS,May,19,2013-01-01
2014,AMAZONAS,May,12,2014-01-01
2015,AMAZONAS,May,10,2015-01-01
2016,AMAZONAS,May,30,2016-01-01
2017,AMAZONAS,May,40,2017-01-01
1998,AMAZONAS,June,2,1998-01-01
1999,AMAZONAS,June,7,1999-01-01
2000,AMAZONAS,June,6,2000-01-01
2001,AMAZONAS,June,5,2001-01-01
2002,AMAZONAS,June,5,2002-01-01
2003,AMAZONAS,June,3,2003-01-01
2004,AMAZONAS,June,12,2004-01-01
2005,AMAZONAS,June,78,2005-01-01
2006,AMAZONAS,June,9,2006-01-01
2007,AMAZONAS,June,23,2007-01-01
2008,AMAZONAS,June,7,2008-01-01
2009,AMAZONAS,June,13,2009-01-01
2010,AMAZONAS,June,9,2010-01-01
2011,AMAZONAS,June,22,2011-01-01
2012,AMAZONAS,June,45,2012-01-01
2013,AMAZONAS,June,56,2013-01-01
2014,AMAZONAS,June,74,2014-01-01
2015,AMAZONAS,June,33,2015-01-01
2016,AMAZONAS,June,90,2016-01-01
2017,AMAZONAS,June,119,2017-01-01
1998,AMAZONAS,July,71,1998-01-01
1999,AMAZONAS,July,11,1999-01-01
2000,AMAZONAS,July,39,2000-01-01
2001,AMAZONAS,July,9,2001-01-01
2002,AMAZONAS,July,146,2002-01-01
2003,AMAZONAS,July,180,2003-01-01
2004,AMAZONAS,July,177,2004-01-01
2005,AMAZONAS,July,676,2005-01-01
2006,AMAZONAS,July,123,2006-01-01
2007,AMAZONAS,July,116,2007-01-01
2008,AMAZONAS,July,108,2008-01-01
2009,AMAZONAS,July,199,2009-01-01
2010,AMAZONAS,July,640,2010-01-01
2011,AMAZONAS,July,271,2011-01-01
2012,AMAZONAS,July,234,2012-01-01
2013,AMAZONAS,July,248,2013-01-01
2014,AMAZONAS,July,202,2014-01-01
2015,AMAZONAS,July,356,2015-01-01
2016,AMAZONAS,July,1.137,2016-01-01
2017,AMAZONAS,July,1.975,2017-01-01
1998,AMAZONAS,August,321,1998-01-01
1999,AMAZONAS,August,259,1999-01-01
2000,AMAZONAS,August,180,2000-01-01
2001,AMAZONAS,August,501,2001-01-01
2002,AMAZONAS,August,741,2002-01-01
2003,AMAZONAS,August,1.867,2003-01-01
2004,AMAZONAS,August,1.207,2004-01-01
2005,AMAZONAS,August,2.316,2005-01-01
2006,AMAZONAS,August,1.422,2006-01-01
2007,AMAZONAS,August,2.241,2007-01-01
2008,AMAZONAS,August,861,2008-01-01
2009,AMAZONAS,August,1.321,2009-01-01
2010,AMAZONAS,August,3.727,2010-01-01
2011,AMAZONAS,August,1.243,2011-01-01
2012,AMAZONAS,August,3.011,2012-01-01
2013,AMAZONAS,August,1.276,2013-01-01
2014,AMAZONAS,August,3.852,2014-01-01
2015,AMAZONAS,August,4.564,2015-01-01
2016,AMAZONAS,August,3.611,2016-01-01
2017,AMAZONAS,August,6.316,2017-01-01
1998,AMAZONAS,September,267,1998-01-01
1999,AMAZONAS,September,216,1999-01-01
2000,AMAZONAS,September,189,2000-01-01
2001,AMAZONAS,September,166,2001-01-01
2002,AMAZONAS,September,928,2002-01-01
2003,AMAZONAS,September,1.401,2003-01-01
2004,AMAZONAS,September,911,2004-01-01
2005,AMAZONAS,September,2.812,2005-01-01
2006,AMAZONAS,September,2.218,2006-01-01
2007,AMAZONAS,September,1.36,2007-01-01
2008,AMAZONAS,September,998,2008-01-01
2009,AMAZONAS,September,3.091,2009-01-01
2010,AMAZONAS,September,2.781,2010-01-01
2011,AMAZONAS,September,1.295,2011-01-01
2012,AMAZONAS,September,2.392,2012-01-01
2013,AMAZONAS,September,1.739,2013-01-01
2014,AMAZONAS,September,3.057,2014-01-01
2015,AMAZONAS,September,5.882,2015-01-01
2016,AMAZONAS,September,3.119,2016-01-01
2017,AMAZONAS,September,4.033,2017-01-01
1998,AMAZONAS,October,83,1998-01-01
1999,AMAZONAS,October,479,1999-01-01
2000,AMAZONAS,October,145,2000-01-01
2001,AMAZONAS,October,332,2001-01-01
2002,AMAZONAS,October,695,2002-01-01
2003,AMAZONAS,October,725,2003-01-01
2004,AMAZONAS,October,710,2004-01-01
2005,AMAZONAS,October,545,2005-01-01
2006,AMAZONAS,October,721,2006-01-01
2007,AMAZONAS,October,215,2007-01-01
2008,AMAZONAS,October,632,2008-01-01
2009,AMAZONAS,October,2.189,2009-01-01
2010,AMAZONAS,October,889,2010-01-01
2011,AMAZONAS,October,694,2011-01-01
2012,AMAZONAS,October,1.238,2012-01-01
2013,AMAZONAS,October,1.202,2013-01-01
2014,AMAZONAS,October,952,2014-01-01
2015,AMAZONAS,October,2.494,2015-01-01
2016,AMAZONAS,October,2.105,2016-01-01
2017,AMAZONAS,October,1.581,2017-01-01
1998,AMAZONAS,November,6,1998-01-01
1999,AMAZONAS,November,32,1999-01-01
2000,AMAZONAS,November,27,2000-01-01
2001,AMAZONAS,November,244,2001-01-01
2002,AMAZONAS,November,259,2002-01-01
2003,AMAZONAS,November,169,2003-01-01
2004,AMAZONAS,November,209,2004-01-01
2005,AMAZONAS,November,261,2005-01-01
2006,AMAZONAS,November,59,2006-01-01
2007,AMAZONAS,November,90,2007-01-01
2008,AMAZONAS,November,39,2008-01-01
2009,AMAZONAS,November,973,2009-01-01
2010,AMAZONAS,November,354,2010-01-01
2011,AMAZONAS,November,399,2011-01-01
2012,AMAZONAS,November,682,2012-01-01
2013,AMAZONAS,November,220,2013-01-01
2014,AMAZONAS,November,676,2014-01-01
2015,AMAZONAS,November,1.054,2015-01-01
2016,AMAZONAS,November,591,2016-01-01
2017,AMAZONAS,November,552,2017-01-01
1998,AMAZONAS,December,196,1998-01-01
1999,AMAZONAS,December,2,1999-01-01
2000,AMAZONAS,December,60,2000-01-01
2001,AMAZONAS,December,22,2001-01-01
2002,AMAZONAS,December,44,2002-01-01
2003,AMAZONAS,December,147,2003-01-01
2004,AMAZONAS,December,53,2004-01-01
2005,AMAZONAS,December,17,2005-01-01
2006,AMAZONAS,December,23,2006-01-01
2007,AMAZONAS,December,7,2007-01-01
2008,AMAZONAS,December,0,2008-01-01
2009,AMAZONAS,December,102,2009-01-01
2010,AMAZONAS,December,123,2010-01-01
2011,AMAZONAS,December,121,2011-01-01
2012,AMAZONAS,December,80,2012-01-01
2013,AMAZONAS,December,236,2013-01-01
2014,AMAZONAS,December,293,2014-01-01
2015,AMAZONAS,December,565,2015-01-01
2016,AMAZONAS,December,133,2016-01-01
1998,BAHIA,January,0,1998-01-01
1999,BAHIA,January,114,1999-01-01
2000,BAHIA,January,31,2000-01-01
2001,BAHIA,January,24,2001-01-01
2002,BAHIA,January,125,2002-01-01
2003,BAHIA,January,439,2003-01-01
2004,BAHIA,January,158,2004-01-01
2005,BAHIA,January,303,2005-01-01
2006,BAHIA,January,225,2006-01-01
2007,BAHIA,January,373,2007-01-01
2008,BAHIA,January,314,2008-01-01
2009,BAHIA,January,177,2009-01-01
2010,BAHIA,January,297,2010-01-01
2011,BAHIA,January,101,2011-01-01
2012,BAHIA,January,179,2012-01-01
2013,BAHIA,January,125,2013-01-01
2014,BAHIA,January,132,2014-01-01
2015,BAHIA,January,256,2015-01-01
2016,BAHIA,January,285,2016-01-01
2017,BAHIA,January,154,2017-01-01
1998,BAHIA,February,0,1998-01-01
1999,BAHIA,February,157,1999-01-01
2000,BAHIA,February,32,2000-01-01
2001,BAHIA,February,101,2001-01-01
2002,BAHIA,February,204,2002-01-01
2003,BAHIA,February,223,2003-01-01
2004,BAHIA,February,122,2004-01-01
2005,BAHIA,February,143,2005-01-01
2006,BAHIA,February,277,2006-01-01
2007,BAHIA,February,113,2007-01-01
2008,BAHIA,February,235,2008-01-01
2009,BAHIA,February,117,2009-01-01
2010,BAHIA,February,206,2010-01-01
2011,BAHIA,February,156,2011-01-01
2012,BAHIA,February,200,2012-01-01
2013,BAHIA,February,231,2013-01-01
2014,BAHIA,February,107,2014-01-01
2015,BAHIA,February,143,2015-01-01
2016,BAHIA,February,418,2016-01-01
2017,BAHIA,February,100,2017-01-01
1998,BAHIA,March,0,1998-01-01
1999,BAHIA,March,83,1999-01-01
2000,BAHIA,March,65,2000-01-01
2001,BAHIA,March,4,2001-01-01
2002,BAHIA,March,146,2002-01-01
2003,BAHIA,March,274,2003-01-01
2004,BAHIA,March,115,2004-01-01
2005,BAHIA,March,158,2005-01-01
2006,BAHIA,March,199,2006-01-01
2007,BAHIA,March,141,2007-01-01
2008,BAHIA,March,135,2008-01-01
2009,BAHIA,March,249,2009-01-01
2010,BAHIA,March,156,2010-01-01
2011,BAHIA,March,90,2011-01-01
2012,BAHIA,March,404,2012-01-01
2013,BAHIA,March,363,2013-01-01
2014,BAHIA,March,148,2014-01-01
2015,BAHIA,March,229,2015-01-01
2016,BAHIA,March,281,2016-01-01
2017,BAHIA,March,163,2017-01-01
1998,BAHIA,April,0,1998-01-01
1999,BAHIA,April,55,1999-01-01
2000,BAHIA,April,23,2000-01-01
2001,BAHIA,April,26,2001-01-01
2002,BAHIA,April,110,2002-01-01
2003,BAHIA,April,376,2003-01-01
2004,BAHIA,April,89,2004-01-01
2005,BAHIA,April,76,2005-01-01
2006,BAHIA,April,60,2006-01-01
2007,BAHIA,April,64,2007-01-01
2008,BAHIA,April,151,2008-01-01
2009,BAHIA,April,40,2009-01-01
2010,BAHIA,April,103,2010-01-01
2011,BAHIA,April,149,2011-01-01
2012,BAHIA,April,396,2012-01-01
2013,BAHIA,April,108,2013-01-01
2014,BAHIA,April,183,2014-01-01
2015,BAHIA,April,190,2015-01-01
2016,BAHIA,April,217,2016-01-01
2017,BAHIA,April,94,2017-01-01
1998,BAHIA,May,0,1998-01-01
1999,BAHIA,May,76,1999-01-01
2000,BAHIA,May,71,2000-01-01
2001,BAHIA,May,85,2001-01-01
2002,BAHIA,May,166,2002-01-01
2003,BAHIA,May,106,2003-01-01
2004,BAHIA,May,124,2004-01-01
2005,BAHIA,May,120,2005-01-01
2006,BAHIA,May,43,2006-01-01
2007,BAHIA,May,161,2007-01-01
2008,BAHIA,May,56,2008-01-01
2009,BAHIA,May,34,2009-01-01
2010,BAHIA,May,198,2010-01-01
2011,BAHIA,May,189,2011-01-01
2012,BAHIA,May,326,2012-01-01
2013,BAHIA,May,141,2013-01-01
2014,BAHIA,May,224,2014-01-01
2015,BAHIA,May,144,2015-01-01
2016,BAHIA,May,259,2016-01-01
2017,BAHIA,May,121,2017-01-01
1998,BAHIA,June,55,1998-01-01
1999,BAHIA,June,64,1999-01-01
2000,BAHIA,June,178,2000-01-01
2001,BAHIA,June,98,2001-01-01
2002,BAHIA,June,118,2002-01-01
2003,BAHIA,June,140,2003-01-01
2004,BAHIA,June,289,2004-01-01
2005,BAHIA,June,211,2005-01-01
2006,BAHIA,June,68,2006-01-01
2007,BAHIA,June,270,2007-01-01
2008,BAHIA,June,72,2008-01-01
2009,BAHIA,June,92,2009-01-01
2010,BAHIA,June,192,2010-01-01
2011,BAHIA,June,345,2011-01-01
2012,BAHIA,June,385,2012-01-01
2013,BAHIA,June,208,2013-01-01
2014,BAHIA,June,243,2014-01-01
2015,BAHIA,June,242,2015-01-01
2016,BAHIA,June,416,2016-01-01
2017,BAHIA,June,329,2017-01-01
1998,BAHIA,July,219,1998-01-01
1999,BAHIA,July,107,1999-01-01
2000,BAHIA,July,202,2000-01-01
2001,BAHIA,July,248,2001-01-01
2002,BAHIA,July,549,2002-01-01
2003,BAHIA,July,261,2003-01-01
2004,BAHIA,July,310,2004-01-01
2005,BAHIA,July,269,2005-01-01
2006,BAHIA,July,229,2006-01-01
2007,BAHIA,July,811,2007-01-01
2008,BAHIA,July,271,2008-01-01
2009,BAHIA,July,321,2009-01-01
2010,BAHIA,July,519,2010-01-01
2011,BAHIA,July,578,2011-01-01
2012,BAHIA,July,906,2012-01-01
2013,BAHIA,July,362,2013-01-01
2014,BAHIA,July,249,2014-01-01
2015,BAHIA,July,306,2015-01-01
2016,BAHIA,July,345,2016-01-01
2017,BAHIA,July,300,2017-01-01
1998,BAHIA,August,815,1998-01-01
1999,BAHIA,August,453,1999-01-01
2000,BAHIA,August,633,2000-01-01
2001,BAHIA,August,979,2001-01-01
2002,BAHIA,August,1.827,2002-01-01
2003,BAHIA,August,1.039,2003-01-01
2004,BAHIA,August,1.43,2004-01-01
2005,BAHIA,August,948,2005-01-01
2006,BAHIA,August,995,2006-01-01
2007,BAHIA,August,3.734,2007-01-01
2008,BAHIA,August,611,2008-01-01
2009,BAHIA,August,439,2009-01-01
2010,BAHIA,August,2.423,2010-01-01
2011,BAHIA,August,1.795,2011-01-01
2012,BAHIA,August,1.835,2012-01-01
2013,BAHIA,August,610,2013-01-01
2014,BAHIA,August,674,2014-01-01
2015,BAHIA,August,829,2015-01-01
2016,BAHIA,August,724,2016-01-01
2017,BAHIA,August,1.018,2017-01-01
1998,BAHIA,September,2.718,1998-01-01
1999,BAHIA,September,1.275,1999-01-01
2000,BAHIA,September,2.285,2000-01-01
2001,BAHIA,September,3.964,2001-01-01
2002,BAHIA,September,6.439,2002-01-01
2003,BAHIA,September,8.847,2003-01-01
2004,BAHIA,September,6.433,2004-01-01
2005,BAHIA,September,4.066,2005-01-01
2006,BAHIA,September,3.006,2006-01-01
2007,BAHIA,September,7.438,2007-01-01
2008,BAHIA,September,4.837,2008-01-01
2009,BAHIA,September,3.61,2009-01-01
2010,BAHIA,September,5.323,2010-01-01
2011,BAHIA,September,7.086,2011-01-01
2012,BAHIA,September,7.495,2012-01-01
2013,BAHIA,September,2.681,2013-01-01
2014,BAHIA,September,2.604,2014-01-01
2015,BAHIA,September,7.956,2015-01-01
2016,BAHIA,September,1.819,2016-01-01
2017,BAHIA,September,1.791,2017-01-01
1998,BAHIA,October,1.969,1998-01-01
1999,BAHIA,October,1.307,1999-01-01
2000,BAHIA,October,3.35,2000-01-01
2001,BAHIA,October,1.687,2001-01-01
2002,BAHIA,October,5.414,2002-01-01
2003,BAHIA,October,4.264,2003-01-01
2004,BAHIA,October,4.81,2004-01-01
2005,BAHIA,October,8.405,2005-01-01
2006,BAHIA,October,2.079,2006-01-01
2007,BAHIA,October,4.981,2007-01-01
2008,BAHIA,October,7.691,2008-01-01
2009,BAHIA,October,2.552,2009-01-01
2010,BAHIA,October,5.264,2010-01-01
2011,BAHIA,October,2.166,2011-01-01
2012,BAHIA,October,4.607,2012-01-01
2013,BAHIA,October,1.969,2013-01-01
2014,BAHIA,October,2.763,2014-01-01
2015,BAHIA,October,4.989,2015-01-01
2016,BAHIA,October,1.415,2016-01-01
2017,BAHIA,October,4.005,2017-01-01
1998,BAHIA,November,49,1998-01-01
1999,BAHIA,November,49,1999-01-01
2000,BAHIA,November,114,2000-01-01
2001,BAHIA,November,699,2001-01-01
2002,BAHIA,November,1.02,2002-01-01
2003,BAHIA,November,533,2003-01-01
2004,BAHIA,November,1.736,2004-01-01
2005,BAHIA,November,1.595,2005-01-01
2006,BAHIA,November,239,2006-01-01
2007,BAHIA,November,2.126,2007-01-01
2008,BAHIA,November,3.175,2008-01-01
2009,BAHIA,November,402,2009-01-01
2010,BAHIA,November,605,2010-01-01
2011,BAHIA,November,176,2011-01-01
2012,BAHIA,November,168,2012-01-01
2013,BAHIA,November,288,2013-01-01
2014,BAHIA,November,348,2014-01-01
2015,BAHIA,November,1.705,2015-01-01
2016,BAHIA,November,408,2016-01-01
2017,BAHIA,November,174,2017-01-01
1998,BAHIA,December,82,1998-01-01
1999,BAHIA,December,37,1999-01-01
2000,BAHIA,December,24,2000-01-01
2001,BAHIA,December,158,2001-01-01
2002,BAHIA,December,848,2002-01-01
2003,BAHIA,December,710,2003-01-01
2004,BAHIA,December,423,2004-01-01
2005,BAHIA,December,116,2005-01-01
2006,BAHIA,December,169,2006-01-01
2007,BAHIA,December,259,2007-01-01
2008,BAHIA,December,52,2008-01-01
2009,BAHIA,December,308,2009-01-01
2010,BAHIA,December,226,2010-01-01
2011,BAHIA,December,230,2011-01-01
2012,BAHIA,December,477,2012-01-01
2013,BAHIA,December,131,2013-01-01
2014,BAHIA,December,144,2014-01-01
2015,BAHIA,December,1.408,2015-01-01
2016,BAHIA,December,164,2016-01-01
1998,CEARA,January,0,1998-01-01
1999,CEARA,January,47,1999-01-01
2000,CEARA,January,1,2000-01-01
2001,CEARA,January,11,2001-01-01
2002,CEARA,January,33,2002-01-01
2003,CEARA,January,264,2003-01-01
2004,CEARA,January,143,2004-01-01
2005,CEARA,January,384,2005-01-01
2006,CEARA,January,211,2006-01-01
2007,CEARA,January,304,2007-01-01
2008,CEARA,January,166,2008-01-01
2009,CEARA,January,347,2009-01-01
2010,CEARA,January,288,2010-01-01
2011,CEARA,January,32,2011-01-01
2012,CEARA,January,273,2012-01-01
2013,CEARA,January,103,2013-01-01
2014,CEARA,January,115,2014-01-01
2015,CEARA,January,207,2015-01-01
2016,CEARA,January,100,2016-01-01
2017,CEARA,January,91,2017-01-01
1998,CEARA,February,0,1998-01-01
1999,CEARA,February,16,1999-01-01
2000,CEARA,February,6,2000-01-01
2001,CEARA,February,0,2001-01-01
2002,CEARA,February,75,2002-01-01
2003,CEARA,February,9,2003-01-01
2004,CEARA,February,5,2004-01-01
2005,CEARA,February,25,2005-01-01
2006,CEARA,February,23,2006-01-01
2007,CEARA,February,3,2007-01-01
2008,CEARA,February,12,2008-01-01
2009,CEARA,February,8,2009-01-01
2010,CEARA,February,63,2010-01-01
2011,CEARA,February,2,2011-01-01
2012,CEARA,February,41,2012-01-01
2013,CEARA,February,49,2013-01-01
2014,CEARA,February,18,2014-01-01
2015,CEARA,February,25,2015-01-01
2016,CEARA,February,13,2016-01-01
2017,CEARA,February,9,2017-01-01
1998,CEARA,March,0,1998-01-01
1999,CEARA,March,30,1999-01-01
2000,CEARA,March,9,2000-01-01
2001,CEARA,March,0,2001-01-01
2002,CEARA,March,17,2002-01-01
2003,CEARA,March,3,2003-01-01
2004,CEARA,March,1,2004-01-01
2005,CEARA,March,5,2005-01-01
2006,CEARA,March,3,2006-01-01
2007,CEARA,March,2,2007-01-01
2008,CEARA,March,2,2008-01-01
2009,CEARA,March,3,2009-01-01
2010,CEARA,March,40,2010-01-01
2011,CEARA,March,6,2011-01-01
2012,CEARA,March,10,2012-01-01
2013,CEARA,March,17,2013-01-01
2014,CEARA,March,6,2014-01-01
2015,CEARA,March,20,2015-01-01
2016,CEARA,March,4,2016-01-01
2017,CEARA,March,4,2017-01-01
1998,CEARA,April,0,1998-01-01
1999,CEARA,April,6,1999-01-01
2000,CEARA,April,15,2000-01-01
2001,CEARA,April,2,2001-01-01
2002,CEARA,April,5,2002-01-01
2003,CEARA,April,3,2003-01-01
2004,CEARA,April,2,2004-01-01
2005,CEARA,April,4,2005-01-01
2006,CEARA,April,1,2006-01-01
2007,CEARA,April,1,2007-01-01
2008,CEARA,April,0,2008-01-01
2009,CEARA,April,0,2009-01-01
2010,CEARA,April,7,2010-01-01
2011,CEARA,April,1,2011-01-01
2012,CEARA,April,2,2012-01-01
2013,CEARA,April,4,2013-01-01
2014,CEARA,April,4,2014-01-01
2015,CEARA,April,3,2015-01-01
2016,CEARA,April,10,2016-01-01
2017,CEARA,April,6,2017-01-01
1998,CEARA,May,0,1998-01-01
1999,CEARA,May,5,1999-01-01
2000,CEARA,May,7,2000-01-01
2001,CEARA,May,81,2001-01-01
2002,CEARA,May,10,2002-01-01
2003,CEARA,May,0,2003-01-01
2004,CEARA,May,3,2004-01-01
2005,CEARA,May,1,2005-01-01
2006,CEARA,May,0,2006-01-01
2007,CEARA,May,0,2007-01-01
2008,CEARA,May,0,2008-01-01
2009,CEARA,May,0,2009-01-01
2010,CEARA,May,2,2010-01-01
2011,CEARA,May,0,2011-01-01
2012,CEARA,May,19,2012-01-01
2013,CEARA,May,4,2013-01-01
2014,CEARA,May,4,2014-01-01
2015,CEARA,May,17,2015-01-01
2016,CEARA,May,8,2016-01-01
2017,CEARA,May,9,2017-01-01
1998,CEARA,June,1,1998-01-01
1999,CEARA,June,16,1999-01-01
2000,CEARA,June,16,2000-01-01
2001,CEARA,June,38,2001-01-01
2002,CEARA,June,13,2002-01-01
2003,CEARA,June,2,2003-01-01
2004,CEARA,June,1,2004-01-01
2005,CEARA,June,6,2005-01-01
2006,CEARA,June,0,2006-01-01
2007,CEARA,June,1,2007-01-01
2008,CEARA,June,1,2008-01-01
2009,CEARA,June,0,2009-01-01
2010,CEARA,June,3,2010-01-01
2011,CEARA,June,5,2011-01-01
2012,CEARA,June,28,2012-01-01
2013,CEARA,June,5,2013-01-01
2014,CEARA,June,19,2014-01-01
2015,CEARA,June,22,2015-01-01
2016,CEARA,June,45,2016-01-01
2017,CEARA,June,23,2017-01-01
1998,CEARA,July,76,1998-01-01
1999,CEARA,July,83,1999-01-01
2000,CEARA,July,18,2000-01-01
2001,CEARA,July,146,2001-01-01
2002,CEARA,July,12,2002-01-01
2003,CEARA,July,14,2003-01-01
2004,CEARA,July,16,2004-01-01
2005,CEARA,July,14,2005-01-01
2006,CEARA,July,1,2006-01-01
2007,CEARA,July,11,2007-01-01
2008,CEARA,July,3,2008-01-01
2009,CEARA,July,7,2009-01-01
2010,CEARA,July,44,2010-01-01
2011,CEARA,July,18,2011-01-01
2012,CEARA,July,50,2012-01-01
2013,CEARA,July,4,2013-01-01
2014,CEARA,July,47,2014-01-01
2015,CEARA,July,25,2015-01-01
2016,CEARA,July,124,2016-01-01
2017,CEARA,July,26,2017-01-01
1998,CEARA,August,93,1998-01-01
1999,CEARA,August,131,1999-01-01
2000,CEARA,August,79,2000-01-01
2001,CEARA,August,219,2001-01-01
2002,CEARA,August,111,2002-01-01
2003,CEARA,August,109,2003-01-01
2004,CEARA,August,61,2004-01-01
2005,CEARA,August,51,2005-01-01
2006,CEARA,August,50,2006-01-01
2007,CEARA,August,182,2007-01-01
2008,CEARA,August,32,2008-01-01
2009,CEARA,August,26,2009-01-01
2010,CEARA,August,202,2010-01-01
2011,CEARA,August,53,2011-01-01
2012,CEARA,August,278,2012-01-01
2013,CEARA,August,32,2013-01-01
2014,CEARA,August,155,2014-01-01
2015,CEARA,August,127,2015-01-01
2016,CEARA,August,293,2016-01-01
