year,state,month,Number of Fires
2002,MATO GROSSO DO SUL,August,14086
2002,MATO GROSSO DO SUL,September,11034
2002,MATO GROSSO DO SUL,October,9375
2002,MATO GROSSO DO SUL,November,2905
2002,MATO GROSSO DO SUL,December,1157
2003,MATO GROSSO DO SUL,January,896
2003,MATO GROSSO DO SUL,February,592
2003,MATO GROSSO DO SUL,March,554
2003,MATO GROSSO DO SUL,April,903
2003,MATO GROSSO DO SUL,May,942
2003,MATO GROSSO DO SUL,June,4313
2003,MATO GROSSO DO SUL,July,5435
2003,MATO GROSSO DO SUL,August,11132
2003,MATO GROSSO DO SUL,September,15790
2003,MATO GROSSO DO SUL,October,5341
2003,MATO GROSSO DO SUL,November,2097
2003,MATO GROSSO DO SUL,December,1622
2004,MATO GROSSO DO SUL,January,301
2004,MATO GROSSO DO SUL,February,272
2004,MATO GROSSO DO SUL,March,743
2004,MATO GROSSO DO SUL,April,441
2004,MATO GROSSO DO SUL,May,2413
2004,MATO GROSSO DO SUL,June,9813
2004,MATO GROSSO DO SUL,July,11517
2004,MATO GROSSO DO SUL,August,13603
2004,MATO GROSSO DO SUL,September,24994
2004,MATO GROSSO DO SUL,October,9295
2004,MATO GROSSO DO SUL,November,2405
2004,MATO GROSSO DO SUL,December,1217
2005,MATO GROSSO DO SUL,January,438
2005,MATO GROSSO DO SUL,February,871
2005,MATO GROSSO DO SUL,March,362
2005,MATO GROSSO DO SUL,April,372
2005,MATO GROSSO DO SUL,May,1641
2005,MATO GROSSO DO SUL,June,2294
2005,MATO GROSSO DO SUL,July,4172
2005,MATO GROSSO DO SUL,August,11570
2005,MATO GROSSO DO SUL,September,20551
2005,MATO GROSSO DO SUL,October,7765
2005,MATO GROSSO DO SUL,November,1368
2005,MATO GROSSO DO SUL,December,246
2006,MATO GROSSO DO SUL,January,947
2006,MATO GROSSO DO SUL,February,383
2006,MATO GROSSO DO SUL,March,448
2006,MATO GROSSO DO SUL,April,161
2006,MATO GROSSO DO SUL,May,269
2006,MATO GROSSO DO SUL,June,856
2006,MATO GROSSO DO SUL,July,1941
2006,MATO GROSSO DO SUL,August,6218
2006,MATO GROSSO DO SUL,September,12661
2006,MATO GROSSO DO SUL,October,2327
2006,MATO GROSSO DO SUL,November,1031
2006,MATO GROSSO DO SUL,December,23
2007,MATO GROSSO DO SUL,January,476
2007,MATO GROSSO DO SUL,February,213
2007,MATO GROSSO DO SUL,March,476
2007,MATO GROSSO DO SUL,April,79
2007,MATO GROSSO DO SUL,May,359
2007,MATO GROSSO DO SUL,June,1339
2007,MATO GROSSO DO SUL,July,1790
2007,MATO GROSSO DO SUL,August,14453
2007,MATO GROSSO DO SUL,September,25963
2007,MATO GROSSO DO SUL,October,4890
2007,MATO GROSSO DO SUL,November,299
2007,MATO GROSSO DO SUL,December,81
2008,MATO GROSSO DO SUL,January,245
2008,MATO GROSSO DO SUL,February,180
2008,MATO GROSSO DO SUL,March,180
2008,MATO GROSSO DO SUL,April,274
2008,MATO GROSSO DO SUL,May,119
2008,MATO GROSSO DO SUL,June,403
2008,MATO GROSSO DO SUL,July,1117
2008,MATO GROSSO DO SUL,August,2875
2008,MATO GROSSO DO SUL,September,7965
2008,MATO GROSSO DO SUL,October,6326
2008,MATO GROSSO DO SUL,November,190
2008,MATO GROSSO DO SUL,December,159
2009,MATO GROSSO DO SUL,January,527
2009,MATO GROSSO DO SUL,February,248
2009,MATO GROSSO DO SUL,March,325
2009,MATO GROSSO DO SUL,April,169
2009,MATO GROSSO DO SUL,May,516
2009,MATO GROSSO DO SUL,June,979
2009,MATO GROSSO DO SUL,July,1613
2009,MATO GROSSO DO SUL,August,2250
2009,MATO GROSSO DO SUL,September,3129
2009,MATO GROSSO DO SUL,October,2579
2009,MATO GROSSO DO SUL,November,588
2009,MATO GROSSO DO SUL,December,171
2010,MATO GROSSO DO SUL,January,298
2010,MATO GROSSO DO SUL,February,431
2010,MATO GROSSO DO SUL,March,605
2010,MATO GROSSO DO SUL,April,769
2010,MATO GROSSO DO SUL,May,1313
2010,MATO GROSSO DO SUL,June,1025
2010,MATO GROSSO DO SUL,July,3442
2010,MATO GROSSO DO SUL,August,14608
2010,MATO GROSSO DO SUL,September,18366
2010,MATO GROSSO DO SUL,October,4465
2010,MATO GROSSO DO SUL,November,768
2010,MATO GROSSO DO SUL,December,846
2011,MATO GROSSO DO SUL,January,171
2011,MATO GROSSO DO SUL,February,119
2011,MATO GROSSO DO SUL,March,252
2011,MATO GROSSO DO SUL,April,345
2011,MATO GROSSO DO SUL,May,547
2011,MATO GROSSO DO SUL,June,974
2011,MATO GROSSO DO SUL,July,1061
2011,MATO GROSSO DO SUL,August,2628
2011,MATO GROSSO DO SUL,September,6332
2011,MATO GROSSO DO SUL,October,2010
2011,MATO GROSSO DO SUL,November,1103
2011,MATO GROSSO DO SUL,December,431
2012,MATO GROSSO DO SUL,January,166
2012,MATO GROSSO DO SUL,February,193
2012,MATO GROSSO DO SUL,March,423
2012,MATO GROSSO DO SUL,April,521
2012,MATO GROSSO DO SUL,May,812
2012,MATO GROSSO DO SUL,June,1651
2012,MATO GROSSO DO SUL,July,2008
2012,MATO GROSSO DO SUL,August,6195
2012,MATO GROSSO DO SUL,September,10344
2012,MATO GROSSO DO SUL,October,2837
2012,MATO GROSSO DO SUL,November,375
2012,MATO GROSSO DO SUL,December,492
2013,MATO GROSSO DO SUL,January,269
2013,MATO GROSSO DO SUL,February,375
2013,MATO GROSSO DO SUL,March,563
2013,MATO GROSSO DO SUL,April,338
2013,MATO GROSSO DO SUL,May,739
2013,MATO GROSSO DO SUL,June,1213
2013,MATO GROSSO DO SUL,July,1630
2013,MATO GROSSO DO SUL,August,3568
2013,MATO GROSSO DO SUL,September,5576
2013,MATO GROSSO DO SUL,October,1986
2013,MATO GROSSO DO SUL,November,1064
2013,MATO GROSSO DO SUL,December,447
2014,MATO GROSSO DO SUL,January,315
2014,MATO GROSSO DO SUL,February,199
2014,MATO GROSSO DO SUL,March,655
2014,MATO GROSSO DO SUL,April,859
2014,MATO GROSSO DO SUL,May,933
2014,MATO GROSSO DO SUL,June,1795
2014,MATO GROSSO DO SUL,July,2255
2014,MATO GROSSO DO SUL,August,7167
2014,MATO GROSSO DO SUL,September,7081
2014,MATO GROSSO DO SUL,October,5281
2014,MATO GROSSO DO SUL,November,1018
2014,MATO GROSSO DO SUL,December,466
2015,MATO GROSSO DO SUL,January,960
2015,MATO GROSSO DO SUL,February,542
2015,MATO GROSSO DO SUL,March,705
2015,MATO GROSSO DO SUL,April,947
2015,MATO GROSSO DO SUL,May,541
2015,MATO GROSSO DO SUL,June,1402
2015,MATO GROSSO DO SUL,July,1533
2015,MATO GROSSO DO SUL,August,5112
2015,MATO GROSSO DO SUL,September,11068
2015,MATO GROSSO DO SUL,October,6490
2015,MATO GROSSO DO SUL,November,1930
2015,MATO GROSSO DO SUL,December,1777
2016,MATO GROSSO DO SUL,January,374
2016,MATO GROSSO DO SUL,February,1050
2016,MATO GROSSO DO SUL,March,1085
2016,MATO GROSSO DO SUL,April,1770
2016,MATO GROSSO DO SUL,May,1081
2016,MATO GROSSO DO SUL,June,1417
2016,MATO GROSSO DO SUL,July,3495
2016,MATO GROSSO DO SUL,August,6228
2016,MATO GROSSO DO SUL,September,8980
2016,MATO GROSSO DO SUL,October,2749
2016,MATO GROSSO DO SUL,November,918
2016,MATO GROSSO DO SUL,December,425
2017,MATO GROSSO DO SUL,January,482
2017,MATO GROSSO DO SUL,February,337
2017,MATO GROSSO DO SUL,March,719
2017,MATO GROSSO DO SUL,April,606
2017,MATO GROSSO DO SUL,May,845
2017,MATO GROSSO DO SUL,June,2041
2017,MATO GROSSO DO SUL,July,2790
2017,MATO GROSSO DO SUL,August,6229
2017,MATO GROSSO DO SUL,September,23945
2017,MATO GROSSO DO SUL,October,4800
2017,MATO GROSSO DO SUL,November,813
1998,MINAS GERAIS,January,0
1998,MINAS GERAIS,February,0
1998,MINAS GERAIS,March,0
1998,MINAS GERAIS,April,0
1998,MINAS GERAIS,May,0
1998,MINAS GERAIS,June,70
1998,MINAS GERAIS,July,232
1998,MINAS GERAIS,August,875
1998,MINAS GERAIS,September,1981
1998,MINAS GERAIS,October,1093
1998,MINAS GERAIS,November,32
1998,MINAS GERAIS,December,21
1999,MINAS GERAIS,January,36
1999,MINAS GERAIS,February,112
1999,MINAS GERAIS,March,13
1999,MINAS GERAIS,April,27
1999,MINAS GERAIS,May,51
1999,MINAS GERAIS,June,132
1999,MINAS GERAIS,July,318
1999,MINAS GERAIS,August,1190
1999,MINAS GERAIS,September,2686
1999,MINAS GERAIS,October,1363
1999,MINAS GERAIS,November,271
1999,MINAS GERAIS,December,32
2000,MINAS GERAIS,January,24
2000,MINAS GERAIS,February,20
2000,MINAS GERAIS,March,24
2000,MINAS GERAIS,April,49
2000,MINAS GERAIS,May,67
2000,MINAS GERAIS,June,135
2000,MINAS GERAIS,July,345
2000,MINAS GERAIS,August,769
2000,MINAS GERAIS,September,1080
2000,MINAS GERAIS,October,1954
2000,MINAS GERAIS,November,43
2000,MINAS GERAIS,December,14
2001,MINAS GERAIS,January,18
2001,MINAS GERAIS,February,39
2001,MINAS GERAIS,March,13
2001,MINAS GERAIS,April,60
2001,MINAS GERAIS,May,83
2001,MINAS GERAIS,June,166
2001,MINAS GERAIS,July,266
2001,MINAS GERAIS,August,858
2001,MINAS GERAIS,September,1597
2001,MINAS GERAIS,October,528
2001,MINAS GERAIS,November,62
2001,MINAS GERAIS,December,44
2002,MINAS GERAIS,January,29
2002,MINAS GERAIS,February,62
2002,MINAS GERAIS,March,62
2002,MINAS GERAIS,April,99
2002,MINAS GERAIS,May,98
2002,MINAS GERAIS,June,207
2002,MINAS GERAIS,July,741
2002,MINAS GERAIS,August,2041
2002,MINAS GERAIS,September,3100
2002,MINAS GERAIS,October,4788
2002,MINAS GERAIS,November,417
2002,MINAS GERAIS,December,225
2003,MINAS GERAIS,January,37
2003,MINAS GERAIS,February,126
2003,MINAS GERAIS,March,81
2003,MINAS GERAIS,April,215
2003,MINAS GERAIS,May,75
2003,MINAS GERAIS,June,245
2003,MINAS GERAIS,July,407
2003,MINAS GERAIS,August,1955
2003,MINAS GERAIS,September,7091
2003,MINAS GERAIS,October,5391
2003,MINAS GERAIS,November,399
2003,MINAS GERAIS,December,225
2004,MINAS GERAIS,January,22
2004,MINAS GERAIS,February,29
2004,MINAS GERAIS,March,81
2004,MINAS GERAIS,April,48
2004,MINAS GERAIS,May,79
2004,MINAS GERAIS,June,209
2004,MINAS GERAIS,July,625
2004,MINAS GERAIS,August,1642
2004,MINAS GERAIS,September,4339
2004,MINAS GERAIS,October,2736
2004,MINAS GERAIS,November,914
2004,MINAS GERAIS,December,125
2005,MINAS GERAIS,January,28
2005,MINAS GERAIS,February,79
2005,MINAS GERAIS,March,107
2005,MINAS GERAIS,April,89
2005,MINAS GERAIS,May,134
2005,MINAS GERAIS,June,246
2005,MINAS GERAIS,July,467
2005,MINAS GERAIS,August,1029
2005,MINAS GERAIS,September,2047
2005,MINAS GERAIS,October,6546
2005,MINAS GERAIS,November,422
2005,MINAS GERAIS,December,65
2006,MINAS GERAIS,January,109
2006,MINAS GERAIS,February,96
2006,MINAS GERAIS,March,69
2006,MINAS GERAIS,April,50
2006,MINAS GERAIS,May,62
2006,MINAS GERAIS,June,73
2006,MINAS GERAIS,July,336
2006,MINAS GERAIS,August,959
2006,MINAS GERAIS,September,2780
2006,MINAS GERAIS,October,616
2006,MINAS GERAIS,November,59
2006,MINAS GERAIS,December,32
2007,MINAS GERAIS,January,91
2007,MINAS GERAIS,February,71
2007,MINAS GERAIS,March,155
2007,MINAS GERAIS,April,35
2007,MINAS GERAIS,May,124
2007,MINAS GERAIS,June,184
2007,MINAS GERAIS,July,446
2007,MINAS GERAIS,August,2975
2007,MINAS GERAIS,September,5088
2007,MINAS GERAIS,October,3467
2007,MINAS GERAIS,November,1305
2007,MINAS GERAIS,December,95
2008,MINAS GERAIS,January,85
2008,MINAS GERAIS,February,59
2008,MINAS GERAIS,March,61
2008,MINAS GERAIS,April,113
2008,MINAS GERAIS,May,50
2008,MINAS GERAIS,June,48
2008,MINAS GERAIS,July,194
2008,MINAS GERAIS,August,605
2008,MINAS GERAIS,September,2552
2008,MINAS GERAIS,October,3787
2008,MINAS GERAIS,November,892
2008,MINAS GERAIS,December,25
2009,MINAS GERAIS,January,74
2009,MINAS GERAIS,February,74
2009,MINAS GERAIS,March,106
2009,MINAS GERAIS,April,26
2009,MINAS GERAIS,May,128
2009,MINAS GERAIS,June,173
2009,MINAS GERAIS,July,477
2009,MINAS GERAIS,August,685
2009,MINAS GERAIS,September,1310
2009,MINAS GERAIS,October,1013
2009,MINAS GERAIS,November,246
2009,MINAS GERAIS,December,108
2010,MINAS GERAIS,January,118
2010,MINAS GERAIS,February,155
2010,MINAS GERAIS,March,109
2010,MINAS GERAIS,April,112
2010,MINAS GERAIS,May,179
2010,MINAS GERAIS,June,139
2010,MINAS GERAIS,July,707
2010,MINAS GERAIS,August,3353
2010,MINAS GERAIS,September,5059
2010,MINAS GERAIS,October,2048
2010,MINAS GERAIS,November,82
2010,MINAS GERAIS,December,105
2011,MINAS GERAIS,January,61
2011,MINAS GERAIS,February,111
2011,MINAS GERAIS,March,67
2011,MINAS GERAIS,April,66
2011,MINAS GERAIS,May,151
2011,MINAS GERAIS,June,304
2011,MINAS GERAIS,July,801
2011,MINAS GERAIS,August,2742
2011,MINAS GERAIS,September,5978
2011,MINAS GERAIS,October,1206
2011,MINAS GERAIS,November,153
2011,MINAS GERAIS,December,43
2012,MINAS GERAIS,January,75
2012,MINAS GERAIS,February,123
2012,MINAS GERAIS,March,152
2012,MINAS GERAIS,April,180
2012,MINAS GERAIS,May,144
2012,MINAS GERAIS,June,219
2012,MINAS GERAIS,July,669
2012,MINAS GERAIS,August,901
2012,MINAS GERAIS,September,3219
2012,MINAS GERAIS,October,3970
2012,MINAS GERAIS,November,220
2012,MINAS GERAIS,December,189
2013,MINAS GERAIS,January,75
2013,MINAS GERAIS,February,143
2013,MINAS GERAIS,March,110
2013,MINAS GERAIS,April,61
2013,MINAS GERAIS,May,150
2013,MINAS GERAIS,June,144
2013,MINAS GERAIS,July,462
2013,MINAS GERAIS,August,911
2013,MINAS GERAIS,September,1656
2013,MINAS GERAIS,October,1221
2013,MINAS GERAIS,November,277
2013,MINAS GERAIS,December,98
2014,MINAS GERAIS,January,133
2014,MINAS GERAIS,February,157
2014,MINAS GERAIS,March,77
2014,MINAS GERAIS,April,161
2014,MINAS GERAIS,May,224
2014,MINAS GERAIS,June,376
2014,MINAS GERAIS,July,559
2014,MINAS GERAIS,August,1952
2014,MINAS GERAIS,September,3454
2014,MINAS GERAIS,October,4735
2014,MINAS GERAIS,November,398
2014,MINAS GERAIS,December,155
2015,MINAS GERAIS,January,147
2015,MINAS GERAIS,February,84
2015,MINAS GERAIS,March,80
2015,MINAS GERAIS,April,109
2015,MINAS GERAIS,May,114
2015,MINAS GERAIS,June,200
2015,MINAS GERAIS,July,288
2015,MINAS GERAIS,August,1059
2015,MINAS GERAIS,September,3088
2015,MINAS GERAIS,October,3708
2015,MINAS GERAIS,November,1453
2015,MINAS GERAIS,December,295
2016,MINAS GERAIS,January,61
2016,MINAS GERAIS,February,207
2016,MINAS GERAIS,March,123
2016,MINAS GERAIS,April,172
2016,MINAS GERAIS,May,186
2016,MINAS GERAIS,June,263
2016,MINAS GERAIS,July,1004
2016,MINAS GERAIS,August,1433
2016,MINAS GERAIS,September,2093
2016,MINAS GERAIS,October,948
2016,MINAS GERAIS,November,126
2016,MINAS GERAIS,December,91
2017,MINAS GERAIS,January,106
2017,MINAS GERAIS,February,61
2017,MINAS GERAIS,March,105
2017,MINAS GERAIS,April,69
2017,MINAS GERAIS,May,125
2017,MINAS GERAIS,June,360
2017,MINAS GERAIS,July,610
2017,MINAS GERAIS,August,2142
2017,MINAS GERAIS,September,4697
2017,MINAS GERAIS,October,3062
2017,MINAS GERAIS,November,136
1998,PARÁ,January,0
1998,PARÁ,February,0
1998,PARÁ,March,0
1998,PARÁ,April,0
1998,PARÁ,May,0
1998,PARÁ,June,58
1998,PARÁ,July,638
1998,PARÁ,August,6815
1998,PARÁ,September,6237
1998,PARÁ,October,3665
1998,PARÁ,November,1861
1998,PARÁ,December,1008
1999,PARÁ,January,87
1999,PARÁ,February,285
1999,PARÁ,March,7
1999,PARÁ,April,6
1999,PARÁ,May,4
1999,PARÁ,June,37
1999,PARÁ,July,982
1999,PARÁ,August,6178
1999,PARÁ,September,4419
1999,PARÁ,October,5026
1999,PARÁ,November,2682
1999,PARÁ,December,766
2000,PARÁ,January,30
2000,PARÁ,February,29
2000,PARÁ,March,181
2000,PARÁ,April,40
2000,PARÁ,May,12
2000,PARÁ,June,59
2000,PARÁ,July,426
2000,PARÁ,August,5484
2000,PARÁ,September,2569
2000,PARÁ,October,4313
2000,PARÁ,November,3366
2000,PARÁ,December,1698
2001,PARÁ,January,34
2001,PARÁ,February,16
2001,PARÁ,March,0
2001,PARÁ,April,0
2001,PARÁ,May,7
2001,PARÁ,June,42
2001,PARÁ,July,708
2001,PARÁ,August,9043
2001,PARÁ,September,6139
2001,PARÁ,October,5096
2001,PARÁ,November,4938
2001,PARÁ,December,2564
2002,PARÁ,January,144
2002,PARÁ,February,120
2002,PARÁ,March,14
2002,PARÁ,April,11
2002,PARÁ,May,18
2002,PARÁ,June,149
2002,PARÁ,July,772
2002,PARÁ,August,15664
2002,PARÁ,September,5609
2002,PARÁ,October,5189
2002,PARÁ,November,7996
2002,PARÁ,December,3118
2003,PARÁ,January,900
2003,PARÁ,February,34
2003,PARÁ,March,27
2003,PARÁ,April,14
2003,PARÁ,May,3
2003,PARÁ,June,64
2003,PARÁ,July,1571
2003,PARÁ,August,6255
2003,PARÁ,September,8447
2003,PARÁ,October,3803
2003,PARÁ,November,6195
2003,PARÁ,December,4787
2004,PARÁ,January,579
2004,PARÁ,February,20
2004,PARÁ,March,22
2004,PARÁ,April,23
2004,PARÁ,May,44
2004,PARÁ,June,340
2004,PARÁ,July,4436
2004,PARÁ,August,12812
2004,PARÁ,September,9471
2004,PARÁ,October,4726
2004,PARÁ,November,9842
2004,PARÁ,December,5508
2005,PARÁ,January,1768
2005,PARÁ,February,85
2005,PARÁ,March,21
2005,PARÁ,April,14
2005,PARÁ,May,37
2005,PARÁ,June,304
2005,PARÁ,July,4364
2005,PARÁ,August,13055
2005,PARÁ,September,9032
2005,PARÁ,October,5083
2005,PARÁ,November,4968
2005,PARÁ,December,1495
2006,PARÁ,January,403
2006,PARÁ,February,49
2006,PARÁ,March,10
2006,PARÁ,April,2
2006,PARÁ,May,0
2006,PARÁ,June,78
2006,PARÁ,July,615
2006,PARÁ,August,7575
2006,PARÁ,September,8372
2006,PARÁ,October,5964
2006,PARÁ,November,2883
2006,PARÁ,December,1417
2007,PARÁ,January,467
2007,PARÁ,February,23
2007,PARÁ,March,6
2007,PARÁ,April,0
2007,PARÁ,May,9
2007,PARÁ,June,129
2007,PARÁ,July,476
2007,PARÁ,August,14352
2007,PARÁ,September,14590
2007,PARÁ,October,2504
2007,PARÁ,November,2890
2007,PARÁ,December,689
2008,PARÁ,January,131
2008,PARÁ,February,54
2008,PARÁ,March,4
2008,PARÁ,April,7
2008,PARÁ,May,0
2008,PARÁ,June,48
2008,PARÁ,July,971
2008,PARÁ,August,4435
2008,PARÁ,September,6294
2008,PARÁ,October,6653
2008,PARÁ,November,2403
2008,PARÁ,December,684
2009,PARÁ,January,241
2009,PARÁ,February,15
2009,PARÁ,March,4
2009,PARÁ,April,8
2009,PARÁ,May,7
2009,PARÁ,June,38
2009,PARÁ,July,397
2009,PARÁ,August,3859
2009,PARÁ,September,6051
2009,PARÁ,October,6342
2009,PARÁ,November,10012
2009,PARÁ,December,2832
2010,PARÁ,January,437
2010,PARÁ,February,102
2010,PARÁ,March,110
2010,PARÁ,April,22
2010,PARÁ,May,57
2010,PARÁ,June,94
2010,PARÁ,July,1432
2010,PARÁ,August,18130
2010,PARÁ,September,10810
2010,PARÁ,October,3843
2010,PARÁ,November,4417
2010,PARÁ,December,1612
2011,PARÁ,January,108
2011,PARÁ,February,13
2011,PARÁ,March,21
2011,PARÁ,April,10
2011,PARÁ,May,16
2011,PARÁ,June,105
2011,PARÁ,July,632
2011,PARÁ,August,2195
2011,PARÁ,September,5185
2011,PARÁ,October,3141
2011,PARÁ,November,3043
2011,PARÁ,December,3218
2012,PARÁ,January,392
2012,PARÁ,February,63
2012,PARÁ,March,30
2012,PARÁ,April,11
2012,PARÁ,May,59
2012,PARÁ,June,183
2012,PARÁ,July,661
2012,PARÁ,August,6964
2012,PARÁ,September,6870
2012,PARÁ,October,3714
2012,PARÁ,November,6156
2012,PARÁ,December,1812
2013,PARÁ,January,167
2013,PARÁ,February,30
2013,PARÁ,March,19
2013,PARÁ,April,20
2013,PARÁ,May,42
2013,PARÁ,June,173
2013,PARÁ,July,447
2013,PARÁ,August,2161
2013,PARÁ,September,3360
2013,PARÁ,October,4921
2013,PARÁ,November,3688
2013,PARÁ,December,5514
2014,PARÁ,January,251
2014,PARÁ,February,37
2014,PARÁ,March,34
2014,PARÁ,April,27
2014,PARÁ,May,70
2014,PARÁ,June,319
2014,PARÁ,July,825
2014,PARÁ,August,8555
2014,PARÁ,September,6787
2014,PARÁ,October,6448
2014,PARÁ,November,7767
2014,PARÁ,December,4828
2015,PARÁ,January,725
2015,PARÁ,February,108
2015,PARÁ,March,61
2015,PARÁ,April,27
2015,PARÁ,May,95
2015,PARÁ,June,265
2015,PARÁ,July,906
2015,PARÁ,August,7913
2015,PARÁ,September,11068
2015,PARÁ,October,7781
2015,PARÁ,November,9643
2015,PARÁ,December,6610
2016,PARÁ,January,1322
2016,PARÁ,February,430
2016,PARÁ,March,81
2016,PARÁ,April,66
2016,PARÁ,May,154
2016,PARÁ,June,502
2016,PARÁ,July,1579
2016,PARÁ,August,4863
2016,PARÁ,September,3953
2016,PARÁ,October,5281
2016,PARÁ,November,7879
2016,PARÁ,December,3300
2017,PARÁ,January,219
2017,PARÁ,February,14
2017,PARÁ,March,42
2017,PARÁ,April,45
2017,PARÁ,May,114
2017,PARÁ,June,679
2017,PARÁ,July,4985
2017,PARÁ,August,11962
2017,PARÁ,September,25004
2017,PARÁ,October,7628
2017,PARÁ,November,9079
1998,PARAÍBA,January,0
1998,PARAÍBA,February,0
1998,PARAÍBA,March,0
1998,PARAÍBA,April,0
1998,PARAÍBA,May,0
1998,PARAÍBA,June,3
1998,PARAÍBA,July,0
1998,PARAÍBA,August,3
1998,PARAÍBA,September,50
1998,PARAÍBA,October,179
1998,PARAÍBA,November,46
1998,PARAÍBA,December,51
1999,PARAÍBA,January,26
1999,PARAÍBA,February,2
1999,PARAÍBA,March,1
1999,PARAÍBA,April,3
1999,PARAÍBA,May,0
1999,PARAÍBA,June,1
1999,PARAÍBA,July,1
1999,PARAÍBA,August,4
1999,PARAÍBA,September,14
1999,PARAÍBA,October,48
1999,PARAÍBA,November,38
1999,PARAÍBA,December,40
2000,PARAÍBA,January,0
2000,PARAÍBA,February,11
2000,PARAÍBA,March,5
2000,PARAÍBA,April,1
2000,PARAÍBA,May,0
2000,PARAÍBA,June,2
2000,PARAÍBA,July,0
2000,PARAÍBA,August,7
2000,PARAÍBA,September,9
2000,PARAÍBA,October,125
2000,PARAÍBA,November,65
2000,PARAÍBA,December,34
2001,PARAÍBA,January,11
2001,PARAÍBA,February,6
2001,PARAÍBA,March,0
2001,PARAÍBA,April,0
2001,PARAÍBA,May,4
2001,PARAÍBA,June,0
2001,PARAÍBA,July,8
2001,PARAÍBA,August,34
2001,PARAÍBA,September,98
2001,PARAÍBA,October,279
2001,PARAÍBA,November,294
2001,PARAÍBA,December,70
2002,PARAÍBA,January,5
2002,PARAÍBA,February,18
2002,PARAÍBA,March,3
2002,PARAÍBA,April,1
2002,PARAÍBA,May,1
2002,PARAÍBA,June,1
2002,PARAÍBA,July,8
2002,PARAÍBA,August,38
2002,PARAÍBA,September,63
2002,PARAÍBA,October,193
2002,PARAÍBA,November,238
2002,PARAÍBA,December,163
2003,PARAÍBA,January,70
2003,PARAÍBA,February,3
2003,PARAÍBA,March,0
2003,PARAÍBA,April,0
2003,PARAÍBA,May,0
2003,PARAÍBA,June,0
2003,PARAÍBA,July,6
2003,PARAÍBA,August,14
2003,PARAÍBA,September,81
2003,PARAÍBA,October,381
2003,PARAÍBA,November,538
2003,PARAÍBA,December,288
2004,PARAÍBA,January,33
2004,PARAÍBA,February,3
2004,PARAÍBA,March,3
2004,PARAÍBA,April,3
2004,PARAÍBA,May,1
2004,PARAÍBA,June,0
2004,PARAÍBA,July,1
2004,PARAÍBA,August,18
2004,PARAÍBA,September,34
2004,PARAÍBA,October,190
2004,PARAÍBA,November,331
2004,PARAÍBA,December,351
2005,PARAÍBA,January,178
2005,PARAÍBA,February,15
2005,PARAÍBA,March,13
2005,PARAÍBA,April,2
2005,PARAÍBA,May,0
2005,PARAÍBA,June,0
2005,PARAÍBA,July,0
2005,PARAÍBA,August,0
2005,PARAÍBA,September,13
2005,PARAÍBA,October,155
2005,PARAÍBA,November,280
2005,PARAÍBA,December,159
2006,PARAÍBA,January,83
2006,PARAÍBA,February,7
2006,PARAÍBA,March,4
2006,PARAÍBA,April,0
2006,PARAÍBA,May,0
2006,PARAÍBA,June,0
2006,PARAÍBA,July,1
2006,PARAÍBA,August,3
2006,PARAÍBA,September,27
2006,PARAÍBA,October,135
2006,PARAÍBA,November,215
2006,PARAÍBA,December,196
2007,PARAÍBA,January,69
2007,PARAÍBA,February,7
2007,PARAÍBA,March,1
2007,PARAÍBA,April,0
2007,PARAÍBA,May,0
2007,PARAÍBA,June,0
2007,PARAÍBA,July,1
2007,PARAÍBA,August,8
2007,PARAÍBA,September,22
2007,PARAÍBA,October,111
2007,PARAÍBA,November,256
2007,PARAÍBA,December,133
2008,PARAÍBA,January,77
2008,PARAÍBA,February,20
2008,PARAÍBA,March,8
2008,PARAÍBA,April,0
2008,PARAÍBA,May,0
2008,PARAÍBA,June,0
2008,PARAÍBA,July,0
2008,PARAÍBA,August,1
2008,PARAÍBA,September,21
2008,PARAÍBA,October,80
2008,PARAÍBA,November,175
2008,PARAÍBA,December,187
2009,PARAÍBA,January,115
2009,PARAÍBA,February,9
2009,PARAÍBA,March,2
2009,PARAÍBA,April,1
2009,PARAÍBA,May,0
2009,PARAÍBA,June,0
2009,PARAÍBA,July,3
2009,PARAÍBA,August,4
2009,PARAÍBA,September,28
2009,PARAÍBA,October,117
2009,PARAÍBA,November,428
2009,PARAÍBA,December,270
2010,PARAÍBA,January,46
2010,PARAÍBA,February,15
2010,PARAÍBA,March,16
2010,PARAÍBA,April,2
2010,PARAÍBA,May,10
2010,PARAÍBA,June,3
2010,PARAÍBA,July,7
2010,PARAÍBA,August,9
2010,PARAÍBA,September,37
2010,PARAÍBA,October,150
2010,PARAÍBA,November,451
2010,PARAÍBA,December,65
2011,PARAÍBA,January,11
2011,PARAÍBA,February,5
2011,PARAÍBA,March,6
2011,PARAÍBA,April,2
2011,PARAÍBA,May,0
2011,PARAÍBA,June,2
2011,PARAÍBA,July,6
2011,PARAÍBA,August,12
2011,PARAÍBA,September,55
2011,PARAÍBA,October,200
2011,PARAÍBA,November,359
2011,PARAÍBA,December,179
2012,PARAÍBA,January,61
2012,PARAÍBA,February,15
2012,PARAÍBA,March,4
2012,PARAÍBA,April,13
2012,PARAÍBA,May,10
2012,PARAÍBA,June,5
2012,PARAÍBA,July,5
2012,PARAÍBA,August,13
2012,PARAÍBA,September,71
2012,PARAÍBA,October,136
2012,PARAÍBA,November,130
2012,PARAÍBA,December,62
